ranking_date,team,team_code,fifa_rank,fifa_points
2020-12-31,France,FR,2,
2021-12-31,France,FR,3,
2022-12-31,France,FR,3,
2023-12-31,France,FR,2,
2024-12-31,France,FR,2,
2025-12-31,France,FR,3,
2026-12-31,France,FR,3,
2020-12-31,Iraq,IQ,70,
2021-12-31,Iraq,IQ,75,
2022-12-31,Iraq,IQ,68,
2023-12-31,Iraq,IQ,63,
2024-12-31,Iraq,IQ,56,
2025-12-31,Iraq,IQ,58,
2026-12-31,Iraq,IQ,57,
2020-12-31,Norway,NO,44,
2021-12-31,Norway,NO,41,
2022-12-31,Norway,NO,43,
2023-12-31,Norway,NO,44,
2024-12-31,Norway,NO,43,
2025-12-31,Norway,NO,29,
2026-12-31,Norway,NO,31,
2020-12-31,Senegal,SN,20,
2021-12-31,Senegal,SN,20,
2022-12-31,Senegal,SN,19,
2023-12-31,Senegal,SN,20,
2024-12-31,Senegal,SN,17,
2025-12-31,Senegal,SN,19,
2026-12-31,Senegal,SN,15,
