date,team,opponent,is_home,xg,xgot,xa,possession_pct,total_shots,shots_on_target,shots_off_target,blocked_shots,shots_inside_box,shots_outside_box,big_chances,corners,passes,long_passes,final_third_passes,crosses,fouls,tackles,duels_won,clearances,interceptions,goalkeeper_saves,xgot_faced,goals_prevented,pass_accuracy
2023-02-04,Algeria,Senegal,1,,,,52.0,17.0,3.0,8.0,6.0,,,,15.0,441.0,,,,17.0,,,,,1.0,,,74.37641723356009
2025-12-09,Algeria,Iraq,1,1.85,1.67,1.15,69.0,14.0,5.0,7.0,2.0,10.0,4.0,4.0,6.0,700.0,52.0,216.0,14.0,14.0,20.0,52.0,15.0,5.0,1.0,0.05,0.05,92.85714285714286
2022-12-18,Argentina,France,1,,,,54.0,21.0,9.0,9.0,3.0,,,,6.0,648.0,,,,26.0,,,,,2.0,,,83.9506172839506
2022-03-29,Armenia,Norway,1,,,,71.0,24.0,10.0,9.0,5.0,,,,10.0,741.0,,,,7.0,,,,,0.0,,,91.76788124156545
2022-11-22,Australia,France,1,,,,62.0,22.0,7.0,9.0,6.0,,,,8.0,734.0,,,,5.0,,,,,0.0,,,91.55313351498637
2022-06-10,Austria,France,1,,,,35.0,5.0,4.0,1.0,0.0,,,,3.0,333.0,,,,10.0,,,,,6.0,,,83.78378378378379
2022-09-22,Austria,France,1,,,,59.0,22.0,6.0,8.0,8.0,,,,4.0,681.0,,,,4.0,,,,,0.0,,,88.83994126284875
2024-06-17,Austria,France,1,0.59,,,51.0,7.0,3.0,3.0,1.0,,,,6.0,525.0,,,,18.0,,,,,2.0,,,86.28571428571429
2024-09-09,Austria,Norway,1,0.88,,,45.0,6.0,4.0,2.0,0.0,,,,5.0,402.0,,,,6.0,,,,,2.0,,,85.3233830845771
2024-10-13,Austria,Norway,1,2.28,,,66.0,16.0,10.0,6.0,0.0,,,,3.0,573.0,,,,8.0,,,,8.0,0.0,,,87.78359511343804
2025-10-10,Azerbaijan,France,1,2.4,2.14,2.38,77.0,33.0,9.0,13.0,11.0,23.0,10.0,2.0,10.0,717.0,31.0,328.0,29.0,8.0,9.0,59.0,7.0,4.0,0.0,0.0,0.0,90.5160390516039
2025-11-16,Azerbaijan,France,1,0.15,0.16,0.26,26.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,221.0,37.0,65.0,3.0,10.0,24.0,48.0,23.0,8.0,2.0,2.09,0.09,66.9683257918552
2021-12-03,Bahrain,Iraq,1,,,,54.0,13.0,4.0,4.0,5.0,,,,8.0,397.0,,,,10.0,,,,,6.0,,,78.58942065491183
2024-12-25,Bahrain,Iraq,1,,,,47.0,7.0,4.0,3.0,,,,,2.0,,,,,7.0,,,,,3.0,,,
2025-12-03,Bahrain,Iraq,1,1.26,1.62,0.81,43.0,10.0,5.0,2.0,3.0,5.0,5.0,3.0,1.0,361.0,71.0,76.0,10.0,15.0,18.0,62.0,29.0,8.0,0.0,0.83,-0.17,77.28531855955679
2021-10-07,Belgium,France,1,,,,48.0,11.0,6.0,3.0,2.0,,,,4.0,663.0,,,,8.0,,,,,3.0,,,91.55354449472097
2024-07-01,Belgium,France,1,1.36,,,52.0,20.0,2.0,16.0,2.0,,,,5.0,623.0,,,,7.0,,,,,2.0,,,92.93739967897271
2024-09-09,Belgium,France,1,2.7,,,45.0,25.0,9.0,10.0,6.0,,,,5.0,449.0,,,,8.0,,,,,4.0,,,87.97327394209354
2024-10-14,Belgium,France,1,2.69,,,46.0,20.0,7.0,8.0,5.0,,,,9.0,365.0,,,,10.0,,,,10.0,2.0,,,84.65753424657534
2022-06-04,Benin,Senegal,1,,,,61.0,24.0,10.0,11.0,3.0,,,,7.0,527.0,,,,10.0,,,,,1.0,,,86.52751423149905
2023-06-17,Benin,Senegal,1,,,,43.0,6.0,1.0,5.0,,,,,3.0,,,,,16.0,,,,,0.0,,,
2024-03-26,Benin,Senegal,1,,,,68.0,6.0,2.0,4.0,,,,,3.0,,,,,,,,,,1.0,,,
2025-12-30,Benin,Senegal,1,0.76,0.62,0.5,49.0,7.0,4.0,3.0,0.0,4.0,3.0,1.0,4.0,398.0,52.0,52.0,13.0,20.0,14.0,44.0,19.0,12.0,3.0,2.93,-0.07,82.41206030150754
2021-03-31,Bosnia Herzegovina,France,1,,,,44.0,4.0,2.0,1.0,1.0,,,,4.0,439.0,,,,12.0,,,,,1.0,,,84.51025056947609
2021-09-01,Bosnia Herzegovina,France,1,,,,56.0,10.0,1.0,6.0,3.0,,,,4.0,610.0,,,,10.0,,,,,1.0,,,89.01639344262296
2025-12-23,Botswana,Senegal,1,3.67,3.72,2.86,68.0,28.0,17.0,6.0,5.0,21.0,7.0,9.0,7.0,641.0,23.0,245.0,28.0,16.0,12.0,41.0,14.0,6.0,0.0,0.0,0.0,90.79563182527302
2023-06-20,Brazil,Senegal,1,,,,63.0,12.0,4.0,5.0,3.0,,,,3.0,,,,,13.0,,,,,3.0,,,
2025-11-15,Brazil,Senegal,1,1.67,2.17,1.37,47.0,14.0,6.0,4.0,4.0,11.0,3.0,2.0,7.0,338.0,32.0,102.0,14.0,15.0,17.0,46.0,22.0,6.0,1.0,0.04,0.04,85.20710059171599
2021-06-08,Bulgaria,France,1,,,,63.0,26.0,10.0,10.0,6.0,,,,11.0,686.0,,,,11.0,,,,,0.0,,,88.33819241982506
2022-02-02,Burkina Faso,Senegal,1,,,,48.0,10.0,3.0,4.0,3.0,,,,7.0,345.0,,,,15.0,,,,,4.0,,,79.13043478260869
2024-09-06,Burkina Faso,Senegal,1,,,,53.0,6.0,2.0,2.0,2.0,,,,0.0,446.0,,,,20.0,,,,20.0,3.0,,,83.40807174887892
2024-11-14,Burkina Faso,Senegal,1,,,,34.0,14.0,5.0,9.0,0.0,,,,6.0,259.0,,,,14.0,,,,14.0,5.0,,,66.79536679536679
2024-09-09,Burundi,Senegal,1,,,,32.0,2.0,1.0,1.0,0.0,,,,2.0,203.0,,,,15.0,,,,15.0,7.0,,,61.57635467980296
2024-11-19,Burundi,Senegal,1,,,,64.0,25.0,11.0,6.0,8.0,,,,13.0,585.0,,,,19.0,,,,19.0,1.0,,,90.08547008547009
2023-10-16,Cameroon,Senegal,1,,,,54.0,10.0,3.0,6.0,1.0,,,,4.0,,,,,10.0,,,,,2.0,,,
2024-01-19,Cameroon,Senegal,1,1.22,,,47.0,6.0,3.0,1.0,2.0,,,,8.0,335.0,,,,14.0,,,,14.0,0.0,,,76.71641791044776
