match_id,date,team,opponent,competition_type,is_home,is_neutral,comp_type_code,goals_for,goals_against,team_elo_before,opponent_elo_before,elo_diff,team_fifa_rank_before,opponent_fifa_rank_before,fifa_rank_diff,team_fifa_points_before,opponent_fifa_points_before,fifa_points_diff,team_days_since_last_match,opponent_days_since_last_match,rest_days_diff,team_win_rate_last_5,opponent_win_rate_last_5,win_rate_last_5_diff,team_win_rate_last_10,opponent_win_rate_last_10,win_rate_last_10_diff,team_draw_rate_last_5,opponent_draw_rate_last_5,draw_rate_last_5_diff,team_draw_rate_last_10,opponent_draw_rate_last_10,draw_rate_last_10_diff,team_loss_rate_last_5,opponent_loss_rate_last_5,loss_rate_last_5_diff,team_loss_rate_last_10,opponent_loss_rate_last_10,loss_rate_last_10_diff,team_points_per_game_last_5,opponent_points_per_game_last_5,points_per_game_last_5_diff,team_points_per_game_last_10,opponent_points_per_game_last_10,points_per_game_last_10_diff,team_avg_goals_for_last_5,opponent_avg_goals_for_last_5,avg_goals_for_last_5_diff,team_avg_goals_for_last_10,opponent_avg_goals_for_last_10,avg_goals_for_last_10_diff,team_avg_goals_against_last_5,opponent_avg_goals_against_last_5,avg_goals_against_last_5_diff,team_avg_goals_against_last_10,opponent_avg_goals_against_last_10,avg_goals_against_last_10_diff,team_goal_diff_avg_last_5,opponent_goal_diff_avg_last_5,goal_diff_avg_last_5_diff,team_goal_diff_avg_last_10,opponent_goal_diff_avg_last_10,goal_diff_avg_last_10_diff,team_clean_sheet_rate_last_5,opponent_clean_sheet_rate_last_5,clean_sheet_rate_last_5_diff,team_clean_sheet_rate_last_10,opponent_clean_sheet_rate_last_10,clean_sheet_rate_last_10_diff,team_failed_to_score_rate_last_5,opponent_failed_to_score_rate_last_5,failed_to_score_rate_last_5_diff,team_failed_to_score_rate_last_10,opponent_failed_to_score_rate_last_10,failed_to_score_rate_last_10_diff,team_xg_for_last_5,opponent_xg_for_last_5,xg_for_last_5_diff,team_xg_for_last_10,opponent_xg_for_last_10,xg_for_last_10_diff,team_xg_against_last_5,opponent_xg_against_last_5,xg_against_last_5_diff,team_xg_against_last_10,opponent_xg_against_last_10,xg_against_last_10_diff,team_xgot_for_last_5,opponent_xgot_for_last_5,xgot_for_last_5_diff,team_xgot_for_last_10,opponent_xgot_for_last_10,xgot_for_last_10_diff,team_xgot_against_last_5,opponent_xgot_against_last_5,xgot_against_last_5_diff,team_xgot_against_last_10,opponent_xgot_against_last_10,xgot_against_last_10_diff,team_shots_for_last_5,opponent_shots_for_last_5,shots_for_last_5_diff,team_shots_for_last_10,opponent_shots_for_last_10,shots_for_last_10_diff,team_shots_against_last_5,opponent_shots_against_last_5,shots_against_last_5_diff,team_shots_against_last_10,opponent_shots_against_last_10,shots_against_last_10_diff,team_shots_on_target_for_last_5,opponent_shots_on_target_for_last_5,shots_on_target_for_last_5_diff,team_shots_on_target_for_last_10,opponent_shots_on_target_for_last_10,shots_on_target_for_last_10_diff,team_shots_on_target_against_last_5,opponent_shots_on_target_against_last_5,shots_on_target_against_last_5_diff,team_shots_on_target_against_last_10,opponent_shots_on_target_against_last_10,shots_on_target_against_last_10_diff,team_big_chances_for_last_5,opponent_big_chances_for_last_5,big_chances_for_last_5_diff,team_big_chances_for_last_10,opponent_big_chances_for_last_10,big_chances_for_last_10_diff,team_big_chances_against_last_5,opponent_big_chances_against_last_5,big_chances_against_last_5_diff,team_big_chances_against_last_10,opponent_big_chances_against_last_10,big_chances_against_last_10_diff,team_corners_for_last_5,opponent_corners_for_last_5,corners_for_last_5_diff,team_corners_for_last_10,opponent_corners_for_last_10,corners_for_last_10_diff,team_corners_against_last_5,opponent_corners_against_last_5,corners_against_last_5_diff,team_corners_against_last_10,opponent_corners_against_last_10,corners_against_last_10_diff,team_possession_avg_last_5,opponent_possession_avg_last_5,possession_avg_last_5_diff,team_possession_avg_last_10,opponent_possession_avg_last_10,possession_avg_last_10_diff,team_pass_accuracy_avg_last_5,opponent_pass_accuracy_avg_last_5,pass_accuracy_avg_last_5_diff,team_pass_accuracy_avg_last_10,opponent_pass_accuracy_avg_last_10,pass_accuracy_avg_last_10_diff,team_goals_prevented_last_5,opponent_goals_prevented_last_5,goals_prevented_last_5_diff,team_goals_prevented_last_10,opponent_goals_prevented_last_10,goals_prevented_last_10_diff,team_xg_diff_last_5,opponent_xg_diff_last_5,xg_diff_last_5_diff,team_xg_diff_last_10,opponent_xg_diff_last_10,xg_diff_last_10_diff,target_result,target_win
2021-01-12_AE_IQ,2021-01-12,Iraq,United Arab Emirates,friendly,0,0,0,0,0,1627.0,1429.0,198.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draw,0.0
2021-01-27_IQ_KW,2021-01-27,Iraq,Kuwait,friendly,1,0,0,2,1,1624.0,1407.0,217.0,70.0,,,,,,15.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,3.0,,,3.0,,,3.0,,,3.0,,,0.0,,,0.0,,,,,,,,,,,,,,,3.0,,,3.0,,,1.0,,,1.0,,,58.0,,,58.0,,,,,,,,,,,,,,,,,,,,,win,1.0
2021-03-24_GI_NO,2021-03-24,Norway,Gibraltar,qualifier,0,0,1,3,0,1763.0,1094.0,669.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win,1.0
2021-03-24_FR_UA,2021-03-24,France,Ukraine,qualifier,1,0,1,1,1,2091.0,1835.0,256.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draw,0.0
2021-03-26_CG_SN,2021-03-26,Senegal,Congo,qualifier,0,0,1,0,0,1755.0,1375.0,380.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draw,0.0
2021-03-27_NO_TR,2021-03-27,Norway,Turkey,qualifier,0,1,1,0,3,1766.0,1794.0,-28.0,44.0,,,,,,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,27.0,,,1.0,,,1.0,,,13.0,,,13.0,,,0.0,,,0.0,,,,,,,,,,,,,,,14.0,,,14.0,,,1.0,,,1.0,,,77.0,,,77.0,,,89.21694480102695,,,89.21694480102695,,,,,,,,,,,,,,,loss,0.0
2021-03-28_KZ_FR,2021-03-28,France,Kazakhstan,qualifier,0,0,1,2,0,2076.0,1333.0,743.0,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,18.0,,,5.0,,,5.0,,,3.0,,,3.0,,,1.0,,,1.0,,,,,,,,,,,,,,,12.0,,,12.0,,,0.0,,,0.0,,,62.0,,,62.0,,,90.832328106152,,,90.832328106152,,,,,,,,,,,,,,,win,1.0
2021-03-29_UZ_IQ,2021-03-29,Iraq,Uzbekistan,friendly,0,0,0,1,0,1627.0,1564.0,63.0,70.0,,,,,,61.0,42.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,2.5,,,1.5,,,1.5,,,1.5,,,1.5,,,0.0,,,0.0,,,,,,,,,,,,,,,1.5,,,1.5,,,0.5,,,0.5,,,29.0,,,29.0,,,,,,,,,,,,,,,,,,,,,win,1.0
2021-03-30_ME_NO,2021-03-30,Norway,Montenegro,qualifier,0,0,1,1,0,1734.0,1544.0,190.0,44.0,,,,,,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,20.0,,,5.5,,,5.5,,,7.0,,,7.0,,,1.5,,,1.5,,,,,,,,,,,,,,,10.5,,,10.5,,,2.0,,,2.0,,,67.5,,,67.5,,,88.55031408064272,,,88.55031408064272,,,,,,,,,,,,,,,win,1.0
2021-03-30_SN_SW,2021-03-30,Senegal,Eswatini,qualifier,1,0,1,1,1,1742.0,1098.0,644.0,20.0,,,,,,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,5.0,,,5.0,,,0.0,,,0.0,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,3.0,,,3.0,,,47.0,,,47.0,,,,,,,,,,,,,,,,,,,,,draw,0.0
