source,provider_match_id,source_url,date,competition,team,opponent,is_home,xg,xg_raw,possession_pct,possession_pct_raw,total_shots,total_shots_raw,shots_on_target,shots_on_target_raw,big_chances,big_chances_raw,corners,corners_raw,passes,passes_raw,passes_completed,passes_attempted,yellow_cards,yellow_cards_raw,xgot,xgot_raw,shots_off_target,shots_off_target_raw,blocked_shots,blocked_shots_raw,shots_inside_box,shots_inside_box_raw,shots_outside_box,shots_outside_box_raw,woodwork,woodwork_raw,touches_opposition_box,touches_opposition_box_raw,accurate_through_passes,accurate_through_passes_raw,offsides,offsides_raw,free_kicks,free_kicks_raw,long_passes,long_passes_raw,long_passes_completed,long_passes_attempted,final_third_passes,final_third_passes_raw,final_third_passes_completed,final_third_passes_attempted,crosses,crosses_raw,crosses_completed,crosses_attempted,xa,xa_raw,throw_ins,throw_ins_raw,fouls,fouls_raw,tackles,tackles_raw,tackles_completed,tackles_attempted,duels_won,duels_won_raw,clearances,clearances_raw,interceptions,interceptions_raw,errors_leading_to_shot,errors_leading_to_shot_raw,errors_leading_to_goal,errors_leading_to_goal_raw,goalkeeper_saves,goalkeeper_saves_raw,xgot_faced,xgot_faced_raw,goals_prevented,goals_prevented_raw,opponent_is_home,opponent_xg,opponent_possession_pct,opponent_total_shots,opponent_shots_on_target,opponent_big_chances,opponent_corners,opponent_passes,opponent_passes_completed,opponent_passes_attempted,opponent_yellow_cards,opponent_xgot,opponent_shots_off_target,opponent_blocked_shots,opponent_shots_inside_box,opponent_shots_outside_box,opponent_woodwork,opponent_touches_opposition_box,opponent_accurate_through_passes,opponent_offsides,opponent_free_kicks,opponent_long_passes,opponent_long_passes_completed,opponent_long_passes_attempted,opponent_final_third_passes,opponent_final_third_passes_completed,opponent_final_third_passes_attempted,opponent_crosses,opponent_crosses_completed,opponent_crosses_attempted,opponent_xa,opponent_throw_ins,opponent_fouls,opponent_tackles,opponent_tackles_completed,opponent_tackles_attempted,opponent_duels_won,opponent_clearances,opponent_interceptions,opponent_errors_leading_to_shot,opponent_errors_leading_to_goal,opponent_goalkeeper_saves,opponent_xgot_faced,opponent_goals_prevented,xg_diff,possession_pct_diff,total_shots_diff,shots_on_target_diff,big_chances_diff,corners_diff,passes_diff,passes_completed_diff,passes_attempted_diff,yellow_cards_diff,xgot_diff,shots_off_target_diff,blocked_shots_diff,shots_inside_box_diff,shots_outside_box_diff,woodwork_diff,touches_opposition_box_diff,accurate_through_passes_diff,offsides_diff,free_kicks_diff,long_passes_diff,long_passes_completed_diff,long_passes_attempted_diff,final_third_passes_diff,final_third_passes_completed_diff,final_third_passes_attempted_diff,crosses_diff,crosses_completed_diff,crosses_attempted_diff,xa_diff,throw_ins_diff,fouls_diff,tackles_diff,tackles_completed_diff,tackles_attempted_diff,duels_won_diff,clearances_diff,interceptions_diff,errors_leading_to_shot_diff,errors_leading_to_goal_diff,goalkeeper_saves_diff,xgot_faced_diff,goals_prevented_diff,source_team_page,red_cards,red_cards_raw,opponent_red_cards,red_cards_diff
flashscore,OAt8UvFb,https://www.flashscore.com/match/football/morocco-IDKYO3R8/norway-8rP6JO0H/summary/stats/overall/?mid=OAt8UvFb,,,Morocco,Norway,1,1.29,1.29,46.0,46%,13.0,13,5.0,5,3.0,3.0,3.0,3,89.0,89% (336/378),336.0,378.0,1.0,1.0,0.48,0.48,6.0,6,2.0,2.0,7.0,7.0,6.0,6.0,0.0,0.0,15.0,15.0,1.0,1.0,1.0,1,12.0,12,53.0,53% (20/38),20.0,38.0,82.0,82% (59/72),59.0,72.0,33.0,33% (3/9),3.0,9.0,1.08,1.08,13.0,13,6.0,6,72.0,72% (13/18),13.0,18.0,38.0,38.0,25.0,25,10.0,10,1.0,1.0,0.0,0.0,1.0,1,0.5,0.5,-0.5,-0.5,0,0.8,54.0,9.0,2.0,2.0,11.0,89.0,376.0,422.0,1.0,0.5,3.0,4.0,7.0,2.0,0.0,27.0,0.0,1.0,6.0,52.0,17.0,33.0,78.0,97.0,125.0,21.0,5.0,24.0,0.71,15.0,12.0,60.0,12.0,20.0,32.0,10.0,4.0,0.0,0.0,4.0,0.48,-0.52,0.49,-8.0,4.0,3.0,1.0,-8.0,0.0,-40.0,-44.0,0.0,-0.02,3.0,-2.0,0.0,4.0,0.0,-12.0,1.0,0.0,6.0,1.0,3.0,5.0,4.0,-38.0,-53.0,12.0,-2.0,-15.0,0.3700000000000001,-2.0,-6.0,12.0,1.0,-2.0,6.0,15.0,6.0,1.0,0.0,-3.0,0.02,0.02,Norway,,,,
flashscore,OAt8UvFb,https://www.flashscore.com/match/football/morocco-IDKYO3R8/norway-8rP6JO0H/summary/stats/overall/?mid=OAt8UvFb,,,Norway,Morocco,0,0.8,0.8,54.0,54%,9.0,9,2.0,2,2.0,2.0,11.0,11,89.0,89% (376/422),376.0,422.0,1.0,1.0,0.5,0.5,3.0,3,4.0,4.0,7.0,7.0,2.0,2.0,0.0,0.0,27.0,27.0,0.0,0.0,1.0,1,6.0,6,52.0,52% (17/33),17.0,33.0,78.0,78% (97/125),97.0,125.0,21.0,21% (5/24),5.0,24.0,0.71,0.71,15.0,15,12.0,12,60.0,60% (12/20),12.0,20.0,32.0,32.0,10.0,10,4.0,4,0.0,0.0,0.0,0.0,4.0,4,0.48,0.48,-0.52,-0.52,1,1.29,46.0,13.0,5.0,3.0,3.0,89.0,336.0,378.0,1.0,0.48,6.0,2.0,7.0,6.0,0.0,15.0,1.0,1.0,12.0,53.0,20.0,38.0,82.0,59.0,72.0,33.0,3.0,9.0,1.08,13.0,6.0,72.0,13.0,18.0,38.0,25.0,10.0,1.0,0.0,1.0,0.5,-0.5,-0.49,8.0,-4.0,-3.0,-1.0,8.0,0.0,40.0,44.0,0.0,0.02,-3.0,2.0,0.0,-4.0,0.0,12.0,-1.0,0.0,-6.0,-1.0,-3.0,-5.0,-4.0,38.0,53.0,-12.0,2.0,15.0,-0.3700000000000001,2.0,6.0,-12.0,-1.0,2.0,-6.0,-15.0,-6.0,-1.0,0.0,3.0,-0.02,-0.02,Norway,,,,
flashscore,dOKMzug3,https://www.flashscore.com/match/football/norway-8rP6JO0H/sweden-OQyqbHWB/summary/stats/overall/?mid=dOKMzug3,,,Norway,Sweden,1,2.73,2.73,55.0,55%,22.0,22,7.0,7,7.0,7.0,6.0,6,89.0,89% (515/581),515.0,581.0,0.0,0.0,2.86,2.86,8.0,8,7.0,7.0,20.0,20.0,2.0,2.0,0.0,0.0,50.0,50.0,0.0,0.0,2.0,2,6.0,6,66.0,66% (33/50),33.0,50.0,82.0,82% (137/167),137.0,167.0,32.0,32% (8/25),8.0,25.0,2.08,2.08,19.0,19,6.0,6,60.0,60% (9/15),9.0,15.0,47.0,47.0,8.0,8,5.0,5,1.0,1.0,0.0,0.0,3.0,3,0.95,0.95,-0.05,-0.05,0,0.49,45.0,9.0,5.0,1.0,1.0,88.0,429.0,485.0,1.0,0.56,2.0,2.0,8.0,1.0,0.0,14.0,0.0,2.0,6.0,44.0,14.0,32.0,75.0,57.0,76.0,0.0,0.0,2.0,0.2,14.0,6.0,69.0,9.0,13.0,31.0,34.0,6.0,0.0,1.0,4.0,2.82,-0.18,2.24,10.0,13.0,2.0,6.0,5.0,1.0,86.0,96.0,-1.0,2.3,6.0,5.0,12.0,1.0,0.0,36.0,0.0,0.0,0.0,22.0,19.0,18.0,7.0,80.0,91.0,32.0,8.0,23.0,1.88,5.0,0.0,-9.0,0.0,2.0,16.0,-26.0,-1.0,1.0,-1.0,-1.0,-1.87,0.13,Norway,,,,
flashscore,dOKMzug3,https://www.flashscore.com/match/football/norway-8rP6JO0H/sweden-OQyqbHWB/summary/stats/overall/?mid=dOKMzug3,,,Sweden,Norway,0,0.49,0.49,45.0,45%,9.0,9,5.0,5,1.0,1.0,1.0,1,88.0,88% (429/485),429.0,485.0,1.0,1.0,0.56,0.56,2.0,2,2.0,2.0,8.0,8.0,1.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,2.0,2,6.0,6,44.0,44% (14/32),14.0,32.0,75.0,75% (57/76),57.0,76.0,0.0,0% (0/2),0.0,2.0,0.2,0.2,14.0,14,6.0,6,69.0,69% (9/13),9.0,13.0,31.0,31.0,34.0,34,6.0,6,0.0,0.0,1.0,1.0,4.0,4,2.82,2.82,-0.18,-0.18,1,2.73,55.0,22.0,7.0,7.0,6.0,89.0,515.0,581.0,0.0,2.86,8.0,7.0,20.0,2.0,0.0,50.0,0.0,2.0,6.0,66.0,33.0,50.0,82.0,137.0,167.0,32.0,8.0,25.0,2.08,19.0,6.0,60.0,9.0,15.0,47.0,8.0,5.0,1.0,0.0,3.0,0.95,-0.05,-2.24,-10.0,-13.0,-2.0,-6.0,-5.0,-1.0,-86.0,-96.0,1.0,-2.3,-6.0,-5.0,-12.0,-1.0,0.0,-36.0,0.0,0.0,0.0,-22.0,-19.0,-18.0,-7.0,-80.0,-91.0,-32.0,-8.0,-23.0,-1.88,-5.0,0.0,9.0,0.0,-2.0,-16.0,26.0,1.0,-1.0,1.0,1.0,1.87,-0.13,Norway,,,,
flashscore,GA50LvEl,https://www.flashscore.com/match/football/norway-8rP6JO0H/switzerland-rHJ2vy1B/summary/stats/overall/?mid=GA50LvEl,,,Norway,Switzerland,1,0.51,0.51,44.0,44%,5.0,5,1.0,1,2.0,2.0,4.0,4,85.0,85% (352/412),352.0,412.0,,,0.02,0.02,2.0,2,2.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,17.0,17.0,2.0,2.0,2.0,2,8.0,8,52.0,52% (22/42),22.0,42.0,75.0,75% (46/61),46.0,61.0,11.0,11% (1/9),1.0,9.0,1.77,1.77,28.0,28,5.0,5,67.0,67% (10/15),10.0,15.0,34.0,34.0,25.0,25,8.0,8,0.0,0.0,0.0,0.0,1.0,1,0.08,0.08,0.08,0.08,0,0.74,56.0,10.0,1.0,1.0,2.0,86.0,459.0,533.0,,0.08,6.0,3.0,4.0,6.0,0.0,20.0,1.0,1.0,5.0,54.0,27.0,50.0,77.0,103.0,133.0,13.0,1.0,8.0,0.71,20.0,8.0,60.0,18.0,30.0,43.0,14.0,6.0,1.0,0.0,1.0,0.02,0.02,-0.2299999999999999,-12.0,-5.0,0.0,1.0,2.0,-1.0,-107.0,-121.0,,-0.06,-4.0,-1.0,-1.0,-4.0,0.0,-3.0,1.0,1.0,3.0,-2.0,-5.0,-8.0,-2.0,-57.0,-72.0,-2.0,0.0,1.0,1.06,8.0,-3.0,7.0,-8.0,-15.0,-9.0,11.0,2.0,-1.0,0.0,0.0,0.06,0.06,Norway,,,,
flashscore,GA50LvEl,https://www.flashscore.com/match/football/norway-8rP6JO0H/switzerland-rHJ2vy1B/summary/stats/overall/?mid=GA50LvEl,,,Switzerland,Norway,0,0.74,0.74,56.0,56%,10.0,10,1.0,1,1.0,1.0,2.0,2,86.0,86% (459/533),459.0,533.0,,,0.08,0.08,6.0,6,3.0,3.0,4.0,4.0,6.0,6.0,0.0,0.0,20.0,20.0,1.0,1.0,1.0,1,5.0,5,54.0,54% (27/50),27.0,50.0,77.0,77% (103/133),103.0,133.0,13.0,13% (1/8),1.0,8.0,0.71,0.71,20.0,20,8.0,8,60.0,60% (18/30),18.0,30.0,43.0,43.0,14.0,14,6.0,6,1.0,1.0,0.0,0.0,1.0,1,0.02,0.02,0.02,0.02,1,0.51,44.0,5.0,1.0,2.0,4.0,85.0,352.0,412.0,,0.02,2.0,2.0,3.0,2.0,0.0,17.0,2.0,2.0,8.0,52.0,22.0,42.0,75.0,46.0,61.0,11.0,1.0,9.0,1.77,28.0,5.0,67.0,10.0,15.0,34.0,25.0,8.0,0.0,0.0,1.0,0.08,0.08,0.2299999999999999,12.0,5.0,0.0,-1.0,-2.0,1.0,107.0,121.0,,0.06,4.0,1.0,1.0,4.0,0.0,3.0,-1.0,-1.0,-3.0,2.0,5.0,8.0,2.0,57.0,72.0,2.0,0.0,-1.0,-1.06,-8.0,3.0,-7.0,8.0,15.0,9.0,-11.0,-2.0,1.0,0.0,0.0,-0.06,-0.06,Norway,,,,
flashscore,rujmEN6L,https://www.flashscore.com/match/football/netherlands-WYintcWb/norway-8rP6JO0H/summary/stats/overall/?mid=rujmEN6L,,,Netherlands,Norway,1,2.07,2.07,47.0,47%,14.0,14,5.0,5,5.0,5.0,8.0,8,85.0,85% (386/452),386.0,452.0,0.0,0.0,1.97,1.97,4.0,4,5.0,5.0,12.0,12.0,2.0,2.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0,9.0,9,55.0,55% (23/42),23.0,42.0,78.0,78% (132/169),132.0,169.0,28.0,28% (5/18),5.0,18.0,1.4,1.4,20.0,20,11.0,11,71.0,71% (5/7),5.0,7.0,34.0,34.0,18.0,18,5.0,5,0.0,0.0,0.0,0.0,1.0,1,1.07,1.07,0.07,0.07,0,0.83,53.0,5.0,2.0,0.0,2.0,84.0,423.0,501.0,1.0,1.07,2.0,1.0,4.0,1.0,0.0,23.0,0.0,1.0,11.0,43.0,26.0,60.0,75.0,80.0,106.0,47.0,7.0,15.0,0.78,11.0,9.0,52.0,11.0,21.0,50.0,22.0,11.0,0.0,1.0,3.0,1.97,-0.03,1.2399999999999998,-6.0,9.0,3.0,5.0,6.0,1.0,-37.0,-49.0,-1.0,0.8999999999999999,2.0,4.0,8.0,1.0,0.0,5.0,0.0,-1.0,-2.0,12.0,-3.0,-18.0,3.0,52.0,63.0,-19.0,-2.0,3.0,0.6199999999999999,9.0,2.0,19.0,-6.0,-14.0,-16.0,-4.0,-6.0,0.0,-1.0,-2.0,-0.8999999999999999,0.1,Norway,,,,
flashscore,rujmEN6L,https://www.flashscore.com/match/football/netherlands-WYintcWb/norway-8rP6JO0H/summary/stats/overall/?mid=rujmEN6L,,,Norway,Netherlands,0,0.83,0.83,53.0,53%,5.0,5,2.0,2,0.0,0.0,2.0,2,84.0,84% (423/501),423.0,501.0,1.0,1.0,1.07,1.07,2.0,2,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,23.0,23.0,0.0,0.0,1.0,1,11.0,11,43.0,43% (26/60),26.0,60.0,75.0,75% (80/106),80.0,106.0,47.0,47% (7/15),7.0,15.0,0.78,0.78,11.0,11,9.0,9,52.0,52% (11/21),11.0,21.0,50.0,50.0,22.0,22,11.0,11,0.0,0.0,1.0,1.0,3.0,3,1.97,1.97,-0.03,-0.03,1,2.07,47.0,14.0,5.0,5.0,8.0,85.0,386.0,452.0,0.0,1.97,4.0,5.0,12.0,2.0,0.0,28.0,0.0,0.0,9.0,55.0,23.0,42.0,78.0,132.0,169.0,28.0,5.0,18.0,1.4,20.0,11.0,71.0,5.0,7.0,34.0,18.0,5.0,0.0,0.0,1.0,1.07,0.07,-1.2399999999999998,6.0,-9.0,-3.0,-5.0,-6.0,-1.0,37.0,49.0,1.0,-0.8999999999999999,-2.0,-4.0,-8.0,-1.0,0.0,-5.0,0.0,1.0,2.0,-12.0,3.0,18.0,-3.0,-52.0,-63.0,19.0,2.0,-3.0,-0.6199999999999999,-9.0,-2.0,-19.0,6.0,14.0,16.0,4.0,6.0,0.0,1.0,2.0,0.8999999999999999,-0.1,Norway,,,,
flashscore,jR2YfaRq,https://www.flashscore.com/match/football/italy-hlKvieGH/norway-8rP6JO0H/summary/stats/overall/?mid=jR2YfaRq,2025-11-16,,Italy,Norway,1,1.3,1.3,58.0,58%,15.0,15,4.0,4,2.0,2.0,6.0,6,88.0,88% (473/535),473.0,535.0,3.0,3.0,1.8,1.8,6.0,6,5.0,5.0,9.0,9.0,6.0,6.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0,8.0,8,71.0,71% (30/42),30.0,42.0,74.0,74% (99/134),99.0,134.0,35.0,35% (8/23),8.0,23.0,1.24,1.24,12.0,12,15.0,15,70.0,70% (7/10),7.0,10.0,32.0,32.0,21.0,21,3.0,3,0.0,0.0,1.0,1.0,1.0,1,2.33,2.33,-1.67,-1.67,0,1.59,42.0,13.0,5.0,3.0,2.0,85.0,333.0,394.0,2.0,2.33,8.0,0.0,8.0,5.0,0.0,26.0,0.0,0.0,15.0,47.0,27.0,57.0,67.0,61.0,91.0,20.0,2.0,10.0,1.07,13.0,8.0,44.0,4.0,9.0,49.0,19.0,6.0,0.0,1.0,3.0,1.8,0.8,-0.29,16.0,2.0,-1.0,-1.0,4.0,3.0,140.0,141.0,1.0,-0.53,-2.0,5.0,1.0,1.0,0.0,-6.0,0.0,0.0,-7.0,24.0,3.0,-15.0,7.0,38.0,43.0,15.0,6.0,13.0,0.1699999999999999,-1.0,7.0,26.0,3.0,1.0,-17.0,2.0,-3.0,0.0,0.0,-2.0,0.53,-2.47,Norway,,,,
flashscore,jR2YfaRq,https://www.flashscore.com/match/football/italy-hlKvieGH/norway-8rP6JO0H/summary/stats/overall/?mid=jR2YfaRq,2025-11-16,,Norway,Italy,0,1.59,1.59,42.0,42%,13.0,13,5.0,5,3.0,3.0,2.0,2,85.0,85% (333/394),333.0,394.0,2.0,2.0,2.33,2.33,8.0,8,0.0,0.0,8.0,8.0,5.0,5.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0,15.0,15,47.0,47% (27/57),27.0,57.0,67.0,67% (61/91),61.0,91.0,20.0,20% (2/10),2.0,10.0,1.07,1.07,13.0,13,8.0,8,44.0,44% (4/9),4.0,9.0,49.0,49.0,19.0,19,6.0,6,0.0,0.0,1.0,1.0,3.0,3,1.8,1.8,0.8,0.8,1,1.3,58.0,15.0,4.0,2.0,6.0,88.0,473.0,535.0,3.0,1.8,6.0,5.0,9.0,6.0,0.0,20.0,0.0,0.0,8.0,71.0,30.0,42.0,74.0,99.0,134.0,35.0,8.0,23.0,1.24,12.0,15.0,70.0,7.0,10.0,32.0,21.0,3.0,0.0,1.0,1.0,2.33,-1.67,0.29,-16.0,-2.0,1.0,1.0,-4.0,-3.0,-140.0,-141.0,-1.0,0.53,2.0,-5.0,-1.0,-1.0,0.0,6.0,0.0,0.0,7.0,-24.0,-3.0,15.0,-7.0,-38.0,-43.0,-15.0,-6.0,-13.0,-0.1699999999999999,1.0,-7.0,-26.0,-3.0,-1.0,17.0,-2.0,3.0,0.0,0.0,2.0,-0.53,2.47,Norway,,,,
